"Klene Fabriek","10"
"Nieuwe Kerk|Nieuwe Kerk","10"
"Stadsschouwburg|Leidsepoort","10"
"r.k. kerk de Liefde","10"
"R.K. Onze Lieve Vrouwe Kerk","10"
"Goethe Instituut","10"
"Chocoladefabriek Korff","10"
"Lutherse Diaconessen Weeshuis","10"
"Oud Leyerhoven","9"
"'t Zonnehuis","9"
"Aquariumgebouw van Artis","9"
"Platanenhof","9"
"Haarlemmermeerstation","9"
"Centraal Station|Noord-Zuid Hollandsch Koffiehuis","9"
"Kalenderpanden","9"
"Krijtmolen d'Admiraal","9"
"Nieuwe Synagoge","9"
"Fontainehofje","8"
"Amstelrust","8"
"Makelaarsbruggetje","8"
"Looiershofje","8"
"Ons' Lieve Heer op Solder","8"
"Berlagebrug","8"
"Regenboogs-liefdehofje","8"
"Poppenhuis","8"
"Kolksluis","8"
"Lutherse Diaconesseninrichting ","8"
"Hodshon Dedelhof","8"
"Beurs van Hendrick de Keyser","8"
"Ceintuur Theater","8"
"Sint Jansbrug","8"
"Pakhuis Insulinde","8"
"De Otter","7"
"Huis aan de Drie Grachten","7"
"Hallen van Stork","7"
"Zevenlandenhuizen","7"
"Stadhuis-Muziektheater","7"
"Nieuwendammerkerk","7"
"Werf 't Kromhout","7"
"warenhuis Metz","7"
"Tropenmuseum","7"
"Brants-Rus Hofje","7"
"Villa Heineken","7"
"Oranjebrug","7"
"Nieuwe Amstelbrug","7"
"Armeens-apostolische Kerk","7"
"Rechtbank Amsterdam","7"
"Lloyd Hotel","7"
"Onze Lieve Vrouwe Kerk","7"
"Van Brants Rushofje","7"
"Entrepotdok","7"
"het Looijershofje","6"
"Sint Agneskerk","6"
"Rapenhofje","6"
"Burgerziekenhuis","6"
"Handboogdoelen","6"
"Zuidergasfabriek","6"
"Kraansluis","6"
"Grimnessesluis","6"
"Flatgebouw Westhove","6"
"De Drie Gekroonde Haringen","6"
"Schottenburch","6"
"Sint Jorishof","6"
"Het Huis met de Hoofden","6"
"Gebouw Odeon","6"
"Wertheimpark","6"
"Sint Ritakerk","6"
"Sociale Verzekeringsbank","6"
"Sportfondsenbad-Oost","6"
"Ons Lieve Heer op Solder","6"
"Hotel Krasnapolsky","6"
"Bijbels Museum","6"
"Tolhuis","6"
"Postsorteercentrum PTT-Post","6"
"Pakhuis de Keizerskroon","6"
"Gebouw Algemeen Handelsblad","6"
"Grote Synagoge","6"
"Overtoomsesluis","5"
"Tichelkerk","5"
"Prinsenhof","5"
"Mr. Harm Smeengeschool","5"
"Nieuw Leyerhoven","5"
"Occo's Hofje","5"
"Pakhuis De Zwijger","5"
"Gebouw Astoria","5"
"Bethelkerk","5"
"Obrechtkerk","5"
