"79","Johannietershuis","http://nl.wikipedia.org/wiki/Johannietershuis"
"80","Sikkingahuis","http://nl.wikipedia.org/wiki/Sikkingahuis"
"81","Oude Hospitaalklooster","http://nl.wikipedia.org/wiki/Oude_Hospitaalklooster"
"82","Noorderpoort","http://nl.wikipedia.org/wiki/Noorderpoort_(Sneek)"
"83","Oosterpoort","http://nl.wikipedia.org/wiki/Oosterpoort_(Sneek)"
"84","Zuider Rondeel","http://nl.wikipedia.org/wiki/Zuider_Rondeel"
"85","Noorder Rondeel","http://nl.wikipedia.org/wiki/Noorder_Rondeel"
"86","Harinxma State","http://nl.wikipedia.org/wiki/Harinxma_State"
"87","Sportpark Noorderhoek","http://nl.wikipedia.org/wiki/Sportpark_Noorderhoek"
"88","Het Hooghuis","http://nl.wikipedia.org/wiki/Het_Hooghuis_(state)"
"89","Kronenburg","http://nl.wikipedia.org/wiki/Kronenburg_(stins)"
"90","Kleine Kerk","http://nl.wikipedia.org/wiki/Kleine_Kerk_(Sneek)"
"91","Thabor","http://nl.wikipedia.org/wiki/Thabor"
"92","Kruisbroedersklooster Jeruzalem","http://nl.wikipedia.org/wiki/Kruisbroedersklooster_Jeruzalem"
"93","Waag","http://nl.wikipedia.org/wiki/Waag_(Sneek)"
"94","Leeuwarderpijp","http://nl.wikipedia.org/wiki/Leeuwarderpijp"
"95","Jousterpijp","http://nl.wikipedia.org/wiki/Jousterpijp"
"96","Kleine-paalderpijp","http://nl.wikipedia.org/wiki/Kleine-paalderpijp"
"97","Bonserwier","http://nl.wikipedia.org/wiki/Bonserwier"
"98","De Hemmen","http://nl.wikipedia.org/wiki/De_Hemmen_(stins)"
"99","C. Kan hal","http://nl.wikipedia.org/wiki/C._Kan_hal"
"100","Geeuwbruggen","http://nl.wikipedia.org/wiki/Geeuwbruggen"
"101","Galigahuis","http://nl.wikipedia.org/wiki/Galigahuis"
"102","Joerstrastins","http://nl.wikipedia.org/wiki/Joerstrastins"
"103","Leeuwenburg","http://nl.wikipedia.org/wiki/Leeuwenburg_(stins)"
"104","Groendijkklooster","http://nl.wikipedia.org/wiki/Groendijkklooster"
"105","Leeuwarderdijkklooster","http://nl.wikipedia.org/wiki/Leeuwarderdijkklooster"
"106","W. Hubert & Co.","http://nl.wikipedia.org/wiki/W._Hubert_&_Co."
"107","Gasfabriek","http://nl.wikipedia.org/wiki/Gasfabriek_(Sneek)"
"108","Sint Antonius Ziekenhuis","http://nl.wikipedia.org/wiki/Sint_Antonius_Ziekenhuis_(Sneek)"
"109","Sint-Jansbergklooster","http://nl.wikipedia.org/wiki/Sint-Jansbergklooster_(Sneek)"
"110","Bonifatiuskerk","http://nl.wikipedia.org/wiki/Bonifatiuskerk_(Ter_Idzard)"
"111","Hervormde kerk","http://nl.wikipedia.org/wiki/Hervormde_kerk_(Heerenveen)"
"112","Hervormde kerk","http://nl.wikipedia.org/wiki/Hervormde_kerk_(Gorredijk)"
"113","Galileërkerk","http://nl.wikipedia.org/wiki/Galileërkerk"
"114","Noorderkerk","http://nl.wikipedia.org/wiki/Noorderkerk_(Drachten)"
"115","Adelskerk van Oud Beets","http://nl.wikipedia.org/wiki/Adelskerk_van_Oud_Beets"
"116","Kasteel Upladen","http://nl.wikipedia.org/wiki/Kasteel_Upladen"
"117","Monnikenhuize","http://nl.wikipedia.org/wiki/Monnikenhuize"
"118","Kasteel Brakel","http://nl.wikipedia.org/wiki/Kasteel_Brakel"
"119","Bommelse Brug","http://nl.wikipedia.org/wiki/Bommelse_Brug"
"120","HollandRama","http://nl.wikipedia.org/wiki/HollandRama"
"121","Nieuw-Monnikenhuize","http://nl.wikipedia.org/wiki/Nieuw-Monnikenhuize"
"122","Harreveld","http://nl.wikipedia.org/wiki/Harreveld_(havezate)"
"123","Kasteel Bronkhorst","http://nl.wikipedia.org/wiki/Kasteel_Bronkhorst_(Gelderland)"
"124","Kasteel Bredevoort","http://nl.wikipedia.org/wiki/Kasteel_Bredevoort"
"125","Klooster Schaer","http://nl.wikipedia.org/wiki/Klooster_Schaer"
"126","Kasteel Lichtenvoorde","http://nl.wikipedia.org/wiki/Kasteel_Lichtenvoorde"
"127","Kasteel Sinderen","http://nl.wikipedia.org/wiki/Kasteel_Sinderen_(Oude_IJsselstreek)"
"128","Watertoren","http://nl.wikipedia.org/wiki/Watertoren_(Wageningen_Belvedère)"
"129","Boelenham","http://nl.wikipedia.org/wiki/Boelenham"
"130","Marhulsen","http://nl.wikipedia.org/wiki/Marhulsen"
"131","Marveld","http://nl.wikipedia.org/wiki/Marveld"
"132","Misterpoort","http://nl.wikipedia.org/wiki/Misterpoort"
"133","Watertoren","http://nl.wikipedia.org/wiki/Watertoren_(Ede)"
"134","Kasteel Hedel","http://nl.wikipedia.org/wiki/Kasteel_Hedel"
"135","Kasteel Batenburg","http://nl.wikipedia.org/wiki/Kasteel_Batenburg"
"136","Christus Koningkerk","http://nl.wikipedia.org/wiki/Christus_Koningkerk_(Nijmegen)"
"137","Middelbeek","http://nl.wikipedia.org/wiki/Middelbeek"
"138","Sint-Augustinuskerk","http://nl.wikipedia.org/wiki/Sint-Augustinuskerk_(Nijmegen)"
"139","Huis Appelenburg","http://nl.wikipedia.org/wiki/Huis_Appelenburg"
"140","Kasteel Gendt","http://nl.wikipedia.org/wiki/Kasteel_Gendt"
"141","Kasteel Byland","http://nl.wikipedia.org/wiki/Kasteel_Byland"
"142","Kasteel Poederoijen","http://nl.wikipedia.org/wiki/Kasteel_Poederoijen"
"143","Slot Ulft","http://nl.wikipedia.org/wiki/Slot_Ulft"
"144","Kasteel Heumen","http://nl.wikipedia.org/wiki/Kasteel_Heumen"
"145","Kasteel van Wageningen","http://nl.wikipedia.org/wiki/Kasteel_van_Wageningen"
"146","Kasteel Aalst","http://nl.wikipedia.org/wiki/Kasteel_Aalst"
"147","Kasteel Culemborg","http://nl.wikipedia.org/wiki/Kasteel_Culemborg"
"148","Huis Crayestein","http://nl.wikipedia.org/wiki/Huis_Crayestein"
"149","Kasteel Doornik","http://nl.wikipedia.org/wiki/Kasteel_Doornik"
"150","Oude watertoren","http://nl.wikipedia.org/wiki/Oude_watertoren_(Tiel)"
"151","Kasteel Sinderen","http://nl.wikipedia.org/wiki/Kasteel_Sinderen_(Voorst)"
"152","Tollenburg","http://nl.wikipedia.org/wiki/Tollenburg"
"153","Janspoort","http://nl.wikipedia.org/wiki/Janspoort"
"154","Huis Geldersweert","http://nl.wikipedia.org/wiki/Huis_Geldersweert"
"155","Velperpoort","http://nl.wikipedia.org/wiki/Velperpoort"
"156","Ros-Oliemolen","http://nl.wikipedia.org/wiki/Ros-Oliemolen_(Zieuwent)"
"157","Boerderij met kapschuur","http://nl.wikipedia.org/wiki/Boerderij_met_kapschuur"
"158","Rijnpoort","http://nl.wikipedia.org/wiki/Rijnpoort"
"159","Klarenbeek","http://nl.wikipedia.org/wiki/Klarenbeek_(stadion)"
"160","Kermestein","http://nl.wikipedia.org/wiki/Kermestein"
"161","Kasteel Didam","http://nl.wikipedia.org/wiki/Kasteel_Didam"
"162","Nettelhorst","http://nl.wikipedia.org/wiki/Nettelhorst_(havezate)"
"163","Kleefse burcht","http://nl.wikipedia.org/wiki/Kleefse_burcht"
"164","Tongerlo","http://nl.wikipedia.org/wiki/Tongerlo_(havezate)"
"165","Zwanenburg","http://nl.wikipedia.org/wiki/Zwanenburg_(Megchelen)"
"166","Alkmaarderhout","http://nl.wikipedia.org/wiki/Alkmaarderhout"
"167","Berkenrode","http://nl.wikipedia.org/wiki/Berkenrode"
"168","Studio Irene","http://nl.wikipedia.org/wiki/Studio_Irene"
"169","Kasteel Oud Haerlem","http://nl.wikipedia.org/wiki/Kasteel_Oud_Haerlem"
"170","Watertoren","http://nl.wikipedia.org/wiki/Watertoren_(Weesp)"
"171","Oude watertoren","http://nl.wikipedia.org/wiki/Oude_watertoren_(Den_Helder)"
"172","Kasteel Ter Wijc","http://nl.wikipedia.org/wiki/Kasteel_Ter_Wijc"
"173","Dennenrode","http://nl.wikipedia.org/wiki/Dennenrode_(flatgebouw)"
"174","De Oude Wolf","http://nl.wikipedia.org/wiki/De_Oude_Wolf"
"175","Petersburg","http://nl.wikipedia.org/wiki/Petersburg_(buitenplaats)"
"176","Hoogduitse Schouwburg","http://nl.wikipedia.org/wiki/Hoogduitse_Schouwburg"
"177","Koepoort","http://nl.wikipedia.org/wiki/Koepoort_(Hoorn)"
"178","Stolpboerderij","http://nl.wikipedia.org/wiki/Stolpboerderij_(Zuid-Scharwoude)"
"179","Noorderpoort","http://nl.wikipedia.org/wiki/Noorderpoort_(Hoorn)"
"180","Oude Oosterpoort","http://nl.wikipedia.org/wiki/Oude_Oosterpoort"
"181","Wasserij-Blekerij","http://nl.wikipedia.org/wiki/Wasserij-Blekerij_(Overveen)"
"182","Westerpoort","http://nl.wikipedia.org/wiki/Westerpoort_(Hoorn)"
"183","Fort aan het Schiphol","http://nl.wikipedia.org/wiki/Fort_aan_het_Schiphol"
"184","Heilige Stede","http://nl.wikipedia.org/wiki/Heilige_Stede"
"185","Leidsepoort","http://nl.wikipedia.org/wiki/Leidsepoort"
"186","Stadion De Meer","http://nl.wikipedia.org/wiki/Stadion_De_Meer"
"187","Maria Magdalenakerk","http://nl.wikipedia.org/wiki/Maria_Magdalenakerk_(Amsterdam)"
"189","Station Amsterdam De Vlugtlaan","http://nl.wikipedia.org/wiki/Station_Amsterdam_De_Vlugtlaan"
"190","Sint Olofspoort","http://nl.wikipedia.org/wiki/Sint_Olofspoort"
"191","Hembrug","http://nl.wikipedia.org/wiki/Hembrug_(brug)"
"192","Weesperpoort","http://nl.wikipedia.org/wiki/Weesperpoort"
"193","Station Amsterdam Weesperpoort","http://nl.wikipedia.org/wiki/Station_Amsterdam_Weesperpoort"
"195","Naatje van de Dam","http://nl.wikipedia.org/wiki/Naatje_van_de_Dam"
"196","Schouwburg van Van Campen","http://nl.wikipedia.org/wiki/Schouwburg_van_Van_Campen"
"197","Bushuis","http://nl.wikipedia.org/wiki/Bushuis"
"198","Jan Roodenpoortstoren","http://nl.wikipedia.org/wiki/Jan_Roodenpoortstoren"
"199","Haringpakkerstoren","http://nl.wikipedia.org/wiki/Haringpakkerstoren"
"200","Station Amsterdam Koenenkade","http://nl.wikipedia.org/wiki/Station_Amsterdam_Koenenkade"
"201","Station Amsterdam Westerdok","http://nl.wikipedia.org/wiki/Station_Amsterdam_Westerdok"
"202","Station Amsterdam Zaanstraat","http://nl.wikipedia.org/wiki/Station_Amsterdam_Zaanstraat"
"203","Station Amsterdam Petroleumhaven","http://nl.wikipedia.org/wiki/Station_Amsterdam_Petroleumhaven"
"205","De Liefde","http://nl.wikipedia.org/wiki/De_Liefde_(Amsterdam)"
"206","Meerhuizen","http://nl.wikipedia.org/wiki/Meerhuizen_(hofstede)"
"207","Stopplaats Spaarndammerdijk-Houthaven","http://nl.wikipedia.org/wiki/Stopplaats_Spaarndammerdijk-Houthaven"
"208","Stopplaats Sint Anthoniedijk","http://nl.wikipedia.org/wiki/Stopplaats_Sint_Anthoniedijk"
"209","Wibauthuis","http://nl.wikipedia.org/wiki/Wibauthuis"
